9482 4156  14 8.571428571428571
947237 27133  -1 7.496969696969697
220389 1368  41 7.494949494949495
744164 52549  -1 7.492857142857143
108991 5391  43 7.488778054862843
551179 36382  -1 7.483606557377049
50852 11977  70 7.483443708609271
314493 29904  -1 7.4787234042553195
820191 45475  -1 7.473684210526316
180602 1368  41 7.470046082949309
422322 45003  34 7.468531468531468
894030 75713  -1 7.468421052631579
7593 2217  -1 7.468013468013468
432081 5112  64 7.466019417475728
747951 55005  -1 7.463829787234043
950528 69668  46 7.460992907801418
283627 16241  -1 7.4609375
512353 52549  -1 7.457044673539519
249516 18339  45 7.45703125
19221 1041  48 7.454545454545454
24315 4967  33 7.454166666666667
727703 70265  -1 7.45320197044335
489344 43714  -1 7.452127659574468
815977 52549  -1 7.448275862068965
301378 5112  64 7.446629213483146
932696 87808  97 7.446153846153846
425931 15266  48 7.443609022556391
205368 5286  36 7.442982456140351
55747 6008  -1 7.437209302325582
298535 33000  34 7.425373134328358
5516 92  -1 7.421818181818182
695839 52549  -1 7.41717791411043
75533 6008  -1 7.416184971098266
569814 24454  -1 7.415730337078652
784926 103142  51 7.414364640883978
167547 2217  -1 7.413385826771654
108276 5112  64 7.412345679012346
331899 48717  -1 7.402597402597403
732247 67343  67 7.401913875598086
5764 2217  -1 7.400593471810089
307903 44751  42 7.4
890968 110090  52 7.398692810457517
419299 20941  62 7.3983739837398375
765486 87751  -1 7.397321428571429
9658 255  -1 7.395
276549 21216  26 7.393939393939394
958177 103142  51 7.39344262295082
241890 43463  -1 7.38785046728972
591703 69668  46 7.38659793814433
856026 27133  -1 7.386440677966101
349239 5286  36 7.383838383838384
821399 48389  37 7.38265306122449
11651 4156  14 7.381443298969073
713310 36999  -1 7.380434782608695
754570 67145  -1 7.375
387612 16241  -1 7.3736654804270465
832997 67145  -1 7.373563218390805
35018 10643  43 7.373134328358209
847326 86447  94 7.372759856630824
831004 86447  94 7.371212121212121
460047 6912  38 7.370526315789474
796506 86447  94 7.37037037037037
310486 27908  35 7.369668246445498
305485 34114  55 7.369047619047619
619785 29571  36 7.368421052631579
11211 4162  44 7.36734693877551
544763 65035  -1 7.366795366795367
43093 1368  41 7.364806866952789
9744 811  -1 7.364705882352941
1509 1483  -1 7.364583333333333
716889 30982  -1 7.361111111111111
422504 18339  45 7.360824742268041
757639 15204  41 7.360759493670886
9753 3575  -1 7.3604651162790695
451534 200  49 7.360433604336043
659530 20941  62 7.3562753036437245
385163 57775  37 7.355311355311355
507241 36382  -1 7.353413654618474
606590 79657  -1 7.353383458646617
671202 52549  -1 7.3532934131736525
951558 123833  -1 7.347517730496454
540048 61234  -1 7.346534653465347
88342 1368  41 7.345177664974619
232816 5286  36 7.345098039215686
274880 2553  65 7.344827586206897
66991 8125  -1 7.344086021505376
684528 46177  59 7.343589743589743
456469 14986  55 7.343558282208589
477202 71043  19 7.341968911917099
687567 52549  -1 7.34185303514377
850910 63633  37 7.340782122905028
11536 4162  44 7.340425531914893
571858 24454  -1 7.338308457711443
165901 5112  64 7.338192419825073
661723 11078  68 7.337837837837838
2856 885  -1 7.337448559670782
828167 45631  55 7.331950207468879
113652 12809  41 7.3304347826086955
867694 69668  46 7.330188679245283
164802 18552  61 7.329501915708812
560326 43714  -1 7.326797385620915
129377 19503  -1 7.325242718446602
82362 4520  -1 7.322916666666667
76259 2217  -1 7.32183908045977
482433 16241  -1 7.321428571428571
220146 200  49 7.319018404907975
86457 5391  43 7.317073170731708
575197 52549  -1 7.316037735849057
675607 65035  -1 7.315126050420168
1855 1042  49 7.315068493150685
585034 70661  -1 7.314465408805032
448525 33000  34 7.313725490196078
917080 103142  51 7.3133333333333335
953816 123833  -1 7.3125
945802 69668  46 7.311258278145695
941220 24454  -1 7.310344827586207
425030 61155  44 7.309677419354839
625835 27133  -1 7.309523809523809
385155 43437  38 7.308550185873606
692954 52549  -1 7.3061224489795915
428359 16241  -1 7.306010928961749
178245 16241  -1 7.305785123966942
899800 27133  -1 7.305343511450381
506633 69668  46 7.305220883534137
346891 5286  36 7.305084745762712
911491 32754  -1 7.3023255813953485
10053 3575  -1 7.302197802197802
527228 15266  48 7.301369863013699
97041 24546  -1 7.301075268817204
14637 2223  44 7.3
7527 2011  -1 7.3
616221 69668  46 7.297872340425532
643137 51614  26 7.294117647058823
53756 6008  -1 7.292993630573249
146577 1368  41 7.292168674698795
52985 5112  64 7.291866028708134
936247 11854  52 7.287671232876712
678258 69668  46 7.287179487179487
502377 75186  51 7.28673835125448
5789 1143  -1 7.2835820895522385
709735 45475  -1 7.2835820895522385
609026 58728  38 7.28193832599119
701518 33000  34 7.280701754385965
651131 70107  28 7.280442804428044
344412 43714  -1 7.279850746268656
60879 7969  49 7.279569892473118
54662 7969  49 7.278409090909091
536461 5112  64 7.278350515463917
573511 65319  -1 7.274038461538462
629131 27133  -1 7.273015873015873
346474 34192  50 7.2727272727272725
86099 10985  56 7.271604938271605
609022 43298  28 7.270742358078603
804838 70000  28 7.270588235294118
96556 1368  41 7.270408163265306
690825 52549  -1 7.269938650306749
163461 24454  -1 7.269736842105263
946077 69668  46 7.269662921348314
424688 61155  44 7.269461077844311
333373 16241  -1 7.268518518518518
625550 52549  -1 7.267045454545454
446065 55542  -1 7.265151515151516
628451 29009  -1 7.265060240963855
121280 1368  41 7.264367816091954
260078 8125  -1 7.263333333333334
536593 70000  28 7.261744966442953
420720 63152  36 7.260683760683761
340101 48717  -1 7.26056338028169
864968 71244  52 7.260273972602739
84485 18349  47 7.259803921568627
738999 67145  -1 7.257309941520468
819770 69668  46 7.2559241706161135
812577 67145  -1 7.253521126760563
600366 24454  -1 7.253086419753086
854466 63633  37 7.252380952380952
274652 35517  -1 7.252293577981652
659635 61234  -1 7.251908396946565
671339 28532  44 7.251572327044025
502330 69368  51 7.25085910652921
23379 5112  64 7.25
892202 69668  46 7.248062015503876
254955 18552  61 7.2477611940298505
382878 60698  -1 7.247663551401869
108898 714  47 7.2462311557788945
30710 1717  56 7.246153846153846
893676 103142  51 7.245614035087719
221223 714  47 7.244532803180914
568519 57775  37 7.243243243243243
754498 46177  59 7.242798353909465
914698 113634  40 7.24223602484472
676609 70661  -1 7.242009132420091
395777 57775  37 7.239726027397261
598125 64670  49 7.238532110091743
310062 16241  -1 7.238341968911917
732312 69668  46 7.238095238095238
284231 1280  98 7.23598820058997
285361 30857  47 7.233983286908078
956738 69668  46 7.232558139534884
52541 10275  47 7.232432432432432
412984 63152  36 7.230452674897119
337421 14620  45 7.230366492146596
205359 20941  62 7.230088495575221
408110 36382  -1 7.230088495575221
387439 18552  61 7.228438228438228
274906 33000  34 7.227118644067796
546230 79657  -1 7.2265625
237779 8178  40 7.225806451612903
181017 18552  61 7.225352112676056
186876 33361  55 7.22508038585209
448209 5286  36 7.224431818181818
891086 43298  28 7.22360248447205
24460 1717  56 7.22265625
99252 1368  41 7.221902017291066
891014 75585  -1 7.220779220779221
275406 11653  -1 7.220338983050848
895743 69668  46 7.219895287958115
875635 106349  48 7.219858156028369
800898 52549  -1 7.219178082191781
735163 43774  51 7.219178082191781
785477 62787  31 7.218579234972678
36754 10275  47 7.218543046357616
742353 57775  37 7.218390804597701
323015 3882  48 7.21830985915493
919866 10275  47 7.216666666666667
749679 67145  -1 7.215909090909091
587828 64670  49 7.215189873417722
18435 2217  -1 7.214876033057851
26098 4375  -1 7.214592274678112
252336 43774  51 7.214545454545455
492138 15266  48 7.213541666666667
900122 67145  -1 7.211764705882353
248439 1368  41 7.209756097560976
900623 73942  -1 7.209424083769633
22637 2217  -1 7.209302325581396
781487 67145  -1 7.209302325581396
833146 67145  -1 7.208888888888889
449866 24454  -1 7.207920792079208
3362 806  51 7.207430340557275
7685 811  -1 7.205479452054795
45700 1280  98 7.203947368421052
8715 92  -1 7.203703703703703
498343 54731  38 7.2027972027972025
940859 103004  40 7.202429149797571
910042 33361  55 7.201520912547529
427564 14837  -1 7.2
55790 14593  -1 7.199095022624435
619084 33000  34 7.197101449275363
217450 36563  30 7.196141479099678
790419 37252  55 7.19455252918288
426788 18339  45 7.192982456140351
231586 5112  64 7.190789473684211
26884 92  -1 7.1893939393939394
782858 67145  -1 7.1875
280404 16241  -1 7.186813186813187
788943 106256  49 7.186567164179104
665953 55838  -1 7.186046511627907
872000 5112  64 7.183673469387755
136752 1368  41 7.1833810888252145
651404 4729  -1 7.1826484018264845
273908 16241  -1 7.1824324324324325
638987 66952  -1 7.181818181818182
798702 61222  67 7.17910447761194
292854 5112  64 7.177248677248677
226000 16241  -1 7.177165354330708
749423 66201  -1 7.176029962546816
666033 45475  -1 7.175438596491228
347486 811  -1 7.175226586102719
726858 69668  46 7.175
910211 110090  52 7.174603174603175
587381 27133  -1 7.174496644295302
43002 6008  -1 7.171974522292993
760475 79602  45 7.171974522292993
78119 5112  64 7.170886075949367
942244 121949  42 7.17
631262 43774  51 7.1698841698841695
503399 45475  -1 7.169724770642202
501709 67697  48 7.1678321678321675
309801 43714  -1 7.167420814479638
544418 16241  -1 7.166666666666667
943888 69668  46 7.1645569620253164
251931 5112  64 7.164179104477612
825618 87808  97 7.1640625
524724 11078  68 7.164021164021164
153333 16790  34 7.163265306122449
660528 55838  -1 7.162037037037037
952690 98339  56 7.161971830985915
459559 200  49 7.16135881104034
2155 1128  -1 7.161290322580645
96991 12061  34 7.161194029850746
874957 105957  -1 7.159420289855072
57033 10275  47 7.158974358974359
792276 70000  28 7.158490566037736
433554 29904  -1 7.158227848101266
578420 68980  39 7.1558441558441555
367804 56797  37 7.155642023346304
368012 36382  -1 7.155063291139241
13249 4729  -1 7.155
119399 6008  -1 7.155
620358 70000  28 7.154696132596685
20207 5112  64 7.153225806451613
9583 255  -1 7.1521739130434785
35911 7242  -1 7.151079136690647
614493 52549  -1 7.150602409638554
854026 61222  67 7.1502890173410405
729165 69668  46 7.149700598802395
504572 28172  -1 7.147826086956521
851761 87751  -1 7.147465437788019
612232 55542  -1 7.147239263803681
597974 52549  -1 7.146341463414634
755881 52549  -1 7.144628099173554
505063 39429  61 7.14410480349345
580982 27133  -1 7.143564356435643
633077 70000  28 7.143459915611814
796228 61234  -1 7.142857142857143
817914 59276  61 7.142857142857143
894009 36382  -1 7.140909090909091
946284 91783  23 7.140740740740741
741083 70265  -1 7.139240506329114
292091 52549  -1 7.138297872340425
672395 86447  94 7.137931034482759
440037 7628  51 7.1371681415929205
208619 1368  41 7.136842105263158
438474 17990  35 7.136531365313653
792108 18450  -1 7.136363636363637
60588 6008  -1 7.136200716845878
296915 36808  -1 7.135770234986945
365525 18552  61 7.135514018691588
633315 36999  -1 7.135135135135135
503876 24111  56 7.132596685082873
940723 44877  -1 7.132530120481928
940810 52549  -1 7.13135593220339
665416 47316  31 7.130890052356021
484695 69668  46 7.130653266331659
528044 69668  46 7.130434782608695
435625 38198  -1 7.130111524163569
461211 66201  -1 7.12987012987013
7918 1143  -1 7.129370629370629
644329 67697  48 7.129166666666666
12268 1379  -1 7.128440366972477
714884 86447  94 7.126436781609195
558898 52549  -1 7.125925925925926
765704 63633  37 7.125
606486 36999  -1 7.125
936118 69668  46 7.123762376237623
957469 27133  -1 7.1234567901234565
86167 1368  41 7.121848739495798
349217 50864  -1 7.1213235294117645
926739 44877  -1 7.1201923076923075
57039 14837  -1 7.119402985074627
787663 67697  48 7.115107913669065
432881 32644  -1 7.114906832298137
310287 5112  64 7.114427860696518
859668 104230  71 7.114285714285714
109014 6008  -1 7.113065326633166
617363 28532  44 7.113013698630137
24200 8178  40 7.112903225806452
667234 57886  -1 7.111627906976744
728710 57775  37 7.111111111111111
647966 57775  37 7.110599078341014
509084 18450  -1 7.109649122807017
497577 36382  -1 7.109540636042403
849396 79602  45 7.109195402298851
444487 61155  44 7.107981220657277
893221 24454  -1 7.107142857142857
280555 27133  -1 7.106529209621993
546661 57  45 7.106194690265487
817974 55005  -1 7.105633802816901
108583 13381  40 7.105527638190955
677907 46177  59 7.104895104895105
956052 87808  97 7.104575163398692
570175 75186  51 7.104347826086957
505846 52549  -1 7.103896103896104
70123 1368  41 7.1033333333333335
470338 40679  37 7.101694915254237
768910 37444  66 7.1
72119 1368  41 7.1
886626 63633  37 7.099476439790576
734268 24454  -1 7.099290780141844
556527 16241  -1 7.098712446351931
9543 1280  98 7.0978260869565215
360281 24454  -1 7.097435897435897
80121 200  49 7.095959595959596
780309 86447  94 7.095435684647303
863407 27133  -1 7.095238095238095
892473 52549  -1 7.095238095238095
887683 69668  46 7.094736842105263
897391 119427  34 7.092741935483871
696440 45475  -1 7.08994708994709
544918 64670  49 7.08984375
108897 3575  -1 7.089775561097257
478446 27133  -1 7.089108910891089
614661 54731  38 7.088235294117647
951352 45631  55 7.087591240875913
204858 1368  41 7.0867579908675795
230233 1368  41 7.086538461538462
12491 1143  -1 7.086294416243655
825723 55005  -1 7.0852713178294575
461509 15266  48 7.084388185654008
450770 18339  45 7.083870967741936
800636 24454  -1 7.083798882681564
442330 29904  -1 7.082644628099174
788761 69668  46 7.082417582417582
87103 6008  -1 7.081730769230769
955475 87808  97 7.081632653061225
109019 1717  56 7.078817733990148
543138 714  47 7.078740157480315
807767 78371  32 7.078125
504322 29451  35 7.077586206896552
762922 27133  -1 7.077490774907749
950222 117534  97 7.076923076923077
161682 35021  34 7.076576576576577
699582 45475  -1 7.076
664024 57886  -1 7.074766355140187
428974 32196  34 7.074418604651163
693929 29451  35 7.073170731707317
592990 67145  -1 7.072992700729927
317719 43714  -1 7.072368421052632
396078 20530  49 7.071672354948806
331990 39429  61 7.071428571428571
680742 55542  -1 7.071428571428571
678567 64844  -1 7.071428571428571
903864 43774  51 7.070588235294117
30912 200  49 7.069620253164557
205294 1368  41 7.069306930693069
263362 5112  64 7.068100358422939
780987 27133  -1 7.067796610169491
733374 66952  -1 7.067357512953368
746461 67145  -1 7.0669856459330145
849945 54778  -1 7.066666666666666
32912 255  -1 7.0661764705882355
410470 15711  64 7.065420560747664
334236 6912  38 7.065420560747664
846634 62357  -1 7.065116279069767
837710 6519  54 7.065040650406504
482279 40679  37 7.064705882352941
840076 69668  46 7.063926940639269
76081 7969  49 7.063218390804598
566097 57775  37 7.0625
705605 70000  28 7.062015503875969
2558 1041  48 7.061946902654867
442842 27133  -1 7.061674008810573
650097 69668  46 7.061611374407583
901279 69668  46 7.059210526315789
285316 35317  68 7.059171597633136
647210 27133  -1 7.058333333333334
702892 68797  48 7.056701030927835
848481 98339  56 7.055555555555555
769100 27133  -1 7.054878048780488
24950 6155  42 7.0546875
649968 8367  -1 7.053658536585366
338054 29156  56 7.053497942386831
426046 45475  -1 7.0519480519480515
396072 714  47 7.051020408163265
780195 27133  -1 7.049792531120332
629950 33361  55 7.049608355091384
88298 200  49 7.0492610837438425
545779 24454  -1 7.048780487804878
27694 7504  51 7.0476190476190474
581699 66952  -1 7.047058823529412
24125 1143  -1 7.046728971962617
947140 103142  51 7.046610169491525
917815 67258  54 7.046511627906977
757676 39429  61 7.045833333333333
716616 52549  -1 7.0458015267175576
379858 57712  27 7.0456852791878175
406761 55838  -1 7.04421768707483
585747 27636  38 7.04390243902439
403806 48389  37 7.043478260869565
786525 102776  -1 7.043165467625899
9019 4162  44 7.043137254901961
902764 113634  40 7.0426829268292686
591723 43774  51 7.042194092827004
840084 103142  51 7.042056074766355
572936 39825  11 7.04147465437788
73747 2217  -1 7.041420118343195
856739 5112  64 7.041379310344827
764457 75585  -1 7.0411985018726595
318661 16241  -1 7.041025641025641
438722 28532  44 7.040590405904059
16947 714  47 7.040404040404041
172402 200  49 7.03921568627451
848340 32754  -1 7.038910505836576
722983 75585  -1 7.038709677419355
151681 714  47 7.038147138964578
229842 41558  -1 7.037974683544304
716338 69668  46 7.037037037037037
161508 6668  40 7.036437246963563
876784 45475  -1 7.036144578313253
684247 32872  59 7.035502958579881
693129 28532  44 7.034722222222222
9643 1041  48 7.0344827586206895
172931 27908  35 7.034334763948498
744388 75585  -1 7.034246575342466
916508 48080  39 7.034246575342466
957072 16241  -1 7.034188034188034
10653 1280  98 7.034146341463415
37563 4967  33 7.033557046979865
899402 52549  -1 7.032786885245901
840540 86447  94 7.032258064516129
617324 52549  -1 7.031413612565445
263181 42826  35 7.031034482758621
399768 27133  -1 7.03030303030303
853595 27133  -1 7.029761904761905
599158 69668  46 7.02970297029703
733486 27133  -1 7.029411764705882
129362 11078  68 7.029126213592233
829969 67145  -1 7.02906976744186
310644 29904  -1 7.028708133971292
64362 6576  65 7.027491408934708
573842 66201  -1 7.0271739130434785
431919 24111  56 7.026143790849673
78575 22046  74 7.026143790849673
775082 98647  -1 7.026041666666667
447616 36999  -1 7.025787965616046
634462 66597  45 7.025210084033613
479303 17990  35 7.025125628140704
386831 18552  61 7.025
339608 7628  51 7.024390243902439
728168 27133  -1 7.024096385542169
422708 17990  35 7.021505376344086
644766 52549  -1 7.02051282051282
178568 1368  41 7.020491803278689
736678 69668  46 7.020408163265306
456002 24454  -1 7.020161290322581
660013 67145  -1 7.02013422818792
373542 18552  61 7.0199203187251
831703 101668  -1 7.019607843137255
868020 60639  34 7.01948051948052
703165 24454  -1 7.01875
38010 2217  -1 7.0182926829268295
162863 18349  47 7.018099547511312
442416 68797  48 7.017857142857143
155264 25464  48 7.017543859649122
898145 52549  -1 7.017391304347826
756339 61234  -1 7.01673640167364
228978 37779  28 7.015625
537580 30982  -1 7.015267175572519
746013 52549  -1 7.014925373134329
422364 40679  37 7.014598540145985
829598 69668  46 7.0137931034482754
916772 87808  97 7.013513513513513
569873 48228  62 (passed away March 9th, 2013) 7.013392857142857
697396 70000  28 7.0119760479041915
14607 714  47 7.011363636363637
474896 40386  -1 7.010752688172043
268200 15266  48 7.010362694300518
661681 12243  47 7.010344827586207
311564 37252  55 7.01015228426396
649002 24454  -1 7.009615384615385
64180 714  47 7.009174311926605
765570 36382  -1 7.009009009009009
31244 1143  -1 7.008583690987124
645362 45475  -1 7.008196721311475
946879 5112  64 7.007042253521127
526971 7628  51 7.006944444444445
696422 66952  -1 7.006410256410256
833777 73564  40 7.0058823529411764
668954 28532  44 7.005586592178771
90452 1368  41 7.005405405405406
676613 52549  -1 7.005405405405406
841856 44877  -1 7.0049751243781095
308245 37252  55 7.004739336492891
654203 55005  -1 7.0046728971962615
894230 52549  -1 7.004566210045662
468336 43774  51 7.004366812227074
901459 43774  51 7.003952569169961
862440 63633  37 7.0
9729 1856  -1 7.0
905057 71244  52 7.0
336066 33000  34 7.0
853476 69668  46 7.0
200213 35517  -1 7.0
150763 6912  38 7.0
841716 65319  -1 7.0
802417 61222  67 7.0
50087 8125  -1 7.0
7659 4156  14 6.996655518394649
372702 40679  37 6.995762711864407
548035 61234  -1 6.995515695067264
21492 714  47 6.9950495049504955
477489 68980  39 6.994623655913978
781551 52549  -1 6.994285714285715
914806 109227  -1 6.994152046783626
803228 27133  -1 6.993939393939394
696060 46177  59 6.993865030674846
339931 3214  61 6.993103448275862
482368 50674  62 6.99290780141844
906167 43774  51 6.992700729927007
446402 44534  -1 6.992337164750958
948160 103142  51 6.991869918699187
283261 36650  31 6.991596638655462
546668 42891  47 6.991228070175438
737823 27133  -1 6.991150442477876
12290 1041  48 6.990654205607477
918655 101536  70 6.990654205607477
296973 24454  -1 6.990595611285267
618805 55838  -1 6.990338164251208
542365 16241  -1 6.99
396054 29177  -1 6.989830508474577
502616 69388  -1 6.988888888888889
487705 41556  50 6.988095238095238
909484 54778  -1 6.987730061349693
940353 57775  37 6.987551867219917
43242 9773  -1 6.9875
32886 10263  -1 6.98639455782313
810243 70000  28 6.98639455782313
36572 7969  49 6.98639455782313
548111 79657  -1 6.986363636363636
330948 8367  -1 6.986348122866894
862085 69368  51 6.985915492957746
35696 10414  47 6.985294117647059
129318 1368  41 6.985294117647059
476613 1368  41 6.985294117647059
559008 67258  54 6.985185185185185
852915 59029  50 6.985148514851486
279947 16241  -1 6.984924623115578
4687 2158  -1 6.984848484848484
837513 86447  94 6.984189723320158
66535 327  -1 6.9837837837837835
75541 1368  41 6.983695652173913
756637 63244  11 6.983471074380165
335011 3080  -1 6.983443708609271
771153 67145  -1 6.98207171314741
256909 2217  -1 6.981949458483754
24246 1041  48 6.981651376146789
101384 714  47 6.981481481481482
781964 82104  55 6.981395348837209
946728 43774  51 6.98125
941916 87808  97 6.98019801980198
687854 61234  -1 6.978835978835979
755084 54431  36 6.978395061728395
57935 11078  68 6.976608187134503
443440 50864  -1 6.976415094339623
623026 43774  51 6.975757575757576
500498 38496  53 6.975757575757576
502128 52549  -1 6.975177304964539
70858 1368  41 6.975
38914 11977  70 6.975
324430 37961  51 6.974789915966387
644702 14614  -1 6.974226804123711
22768 1717  56 6.974137931034483
938326 67145  -1 6.973856209150327
919711 86447  94 6.972972972972973
823280 56057  32 6.972043010752688
276708 5112  64 6.971786833855799
447519 58430  -1 6.9714285714285715
387849 43298  28 6.971153846153846
754384 70000  28 6.971074380165289
495996 24454  -1 6.970873786407767
482898 34114  55 6.970744680851064
602306 55542  -1 6.970588235294118
939013 121949  42 6.970443349753695
768772 69668  46 6.970338983050848
659383 52549  -1 6.970260223048327
619801 33068  45 6.969418960244648
454384 54778  -1 6.968609865470852
547986 20941  62 6.968609865470852
776075 67145  -1 6.968354430379747
303434 29904  -1 6.967889908256881
701110 52549  -1 6.967320261437909
814194 67145  -1 6.967032967032967
333749 55838  -1 6.965811965811966
395988 55838  -1 6.965753424657534
33304 1368  41 6.965277777777778
642875 27133  -1 6.964912280701754
305212 714  47 6.9641255605381165
651728 52549  -1 6.9633699633699635
682110 65035  -1 6.963350785340314
734481 52549  -1 6.962962962962963
698615 52549  -1 6.962732919254658
49260 13576  -1 6.962655601659751
120156 27636  38 6.9623188405797105
485283 1368  41 6.961904761904762
792337 15266  48 6.961538461538462
664794 70661  -1 6.9609375
17842 2344  34 6.959016393442623
931831 70000  28 6.958158995815899
828317 63806  34 6.957142857142857
914537 115307  26 6.95679012345679
335713 21216  26 6.956666666666667
77 57  45 6.956521739130435
897491 43774  51 6.956310679611651
113172 14614  -1 6.956
587254 70000  28 6.955696202531645
846011 67145  -1 6.95475113122172
807400 69668  46 6.954545454545454
602820 14620  45 6.9543147208121825
863498 98339  56 6.953020134228188
52378 714  47 6.9523809523809526
581674 77994  53 6.951923076923077
889073 73564  40 6.951807228915663
52563 7969  49 6.951456310679611
587976 57775  37 6.950920245398773
22857 714  47 6.950892857142857
422681 47316  31 6.950704225352113
169694 16241  -1 6.9505703422053235
603095 64670  49 6.9504950495049505
675804 78516  -1 6.95045045045045
652897 52549  -1 6.949685534591195
99228 6912  38 6.948571428571428
836963 52549  -1 6.947867298578199
869212 105957  -1 6.947619047619048
836135 43463  -1 6.947368421052632
814925 69668  46 6.947136563876652
811568 63806  34 6.946969696969697
659344 57886  -1 6.946768060836502
636146 17990  35 6.94672131147541
863791 103142  51 6.946666666666666
576942 5112  64 6.946666666666666
664685 16241  -1 6.9465648854961835
617443 30982  -1 6.946428571428571
309779 34114  55 6.945945945945946
941164 121949  42 6.945945945945946
49090 10437  72 6.944827586206896
593815 69668  46 6.944117647058824
235529 15266  48 6.94392523364486
244353 33000  34 6.943333333333333
650572 66597  45 6.942857142857143
958094 121949  42 6.942622950819672
408015 56797  37 6.941704035874439
470864 27133  -1 6.941704035874439
659609 80268  29 6.9411764705882355
758936 30982  -1 6.940540540540541
811329 82707  -1 6.9393939393939394
874633 69668  46 6.938679245283019
146859 31865  42 6.938650306748467
494923 57  45 6.938405797101449
81455 5112  64 6.938144329896907
442927 52130  28 6.935064935064935
914326 69668  46 6.934272300469484
169252 14614  -1 6.93359375
593596 54731  38 6.932835820895522
64560 1368  41 6.9324324324324325
710015 52549  -1 6.932038834951456
116455 24961  41 6.931726907630522
69466 17818  -1 6.931654676258993
648605 67258  54 6.930434782608696
892718 113019  -1 6.930232558139535
653336 55838  -1 6.93
263244 36999  -1 6.929889298892989
584342 52549  -1 6.9298245614035086
834360 86447  94 6.928888888888889
10941 6155  42 6.928870292887029
487653 73250  -1 6.928571428571429
230 361  -1 6.92814371257485
957470 27133  -1 6.92741935483871
852236 27133  -1 6.927350427350428
896804 65319  -1 6.927184466019417
897422 103142  51 6.927184466019417
30874 2634  -1 6.926940639269406
419181 59276  61 6.926829268292683
149430 27908  35 6.926470588235294
810406 45475  -1 6.926174496644295
821451 52549  -1 6.926108374384237
182188 31443  63 6.926070038910506
594801 25728  -1 6.925149700598802
61758 5112  64 6.925
815878 77521  26 6.924882629107981
717496 86447  94 6.9245283018867925
230172 2223  44 6.9243421052631575
314631 40386  -1 6.923913043478261
682098 43774  51 6.923913043478261
916406 86447  94 6.921568627450981
543276 68980  39 6.921259842519685
673350 52549  -1 6.9209039548022595
648754 52549  -1 6.920502092050209
81524 8125  -1 6.920398009950249
301066 36382  -1 6.920168067226891
50470 5112  64 6.92
853113 103004  40 6.92
496058 69388  -1 6.919642857142857
446306 43936  44 6.9192825112107625
935900 121949  42 6.919254658385094
949116 57775  37 6.918918918918919
492180 70000  28 6.918781725888325
929052 103142  51 6.91869918699187
685255 69368  51 6.91866028708134
500840 69668  46 6.9186046511627906
952381 98339  56 6.917910447761194
662757 27133  -1 6.916666666666667
863223 105957  -1 6.916666666666667
368380 43298  28 6.915841584158416
258234 33068  45 6.915584415584416
640596 66952  -1 6.915492957746479
564151 74559  -1 6.915492957746479
650646 66952  -1 6.91542288557214
145061 18349  47 6.915151515151515
669990 34114  55 6.914634146341464
284988 35021  34 6.913725490196079
13682 2011  -1 6.913043478260869
775532 27133  -1 6.912820512820513
699515 52549  -1 6.912698412698413
25984 4793  -1 6.912408759124087
851224 103142  51 6.911627906976745
460119 36619  43 6.911447084233261
864943 98339  56 6.9113924050632916
132634 5286  36 6.911214953271028
898340 86447  94 6.911111111111111
487544 24454  -1 6.910828025477707
10422 773  -1 6.91
